np,distance,SEQ,dir.hor,dir.ver,id
1306262,0.13256,3.87E-04,0,0,var1
1546226,0.192572644,6.36E-04,0,0,var1
905572,0.238975939,8.29E-04,0,0,var1
1646936,0.282596844,0.001012416,0,0,var1
1811144,0.3314,0.001195288,0,0,var1
2959400,0.3676679,0.00137415,0,0,var1
846064,0.424399074,0.001650839,0,0,var1
5365424,0.473430034,0.001847478,0,0,var1
2686722,0.520154875,0.002073369,0,0,var1
3977140,0.578464122,0.00232597,0,0,var1
2549392,0.617594982,0.002499517,0,0,var1
6582912,0.669261982,0.002714657,0,0,var1
2924094,0.732458591,0.002965619,0,0,var1
4575946,0.770809827,0.003116109,0,0,var1
6847312,0.816982683,0.003277288,0,0,var1
3980000,0.869417873,0.003457376,0,0,var1
9238884,0.9321978,0.003647277,0,0,var1
6119640,0.983885561,0.003796237,0,0,var1
5434404,1.035202328,0.003925991,0,0,var1
5314726,1.074863628,0.004023775,0,0,var1
8861982,1.122182603,0.004115065,0,0,var1
5691684,1.16898138,0.004217768,0,0,var1
7582332,1.219886541,0.004303942,0,0,var1
9189468,1.270483481,0.004379236,0,0,var1
10103088,1.323138803,0.004448647,0,0,var1
8139676,1.389428327,0.004526317,0,0,var1
8548304,1.419526441,0.004558623,0,0,var1
10210100,1.473094934,0.004609769,0,0,var1
9577640,1.529126797,0.00466114,0,0,var1
10584072,1.578563095,0.004694978,0,0,var1
9147900,1.621814577,0.004712995,0,0,var1
11056240,1.674641326,0.004748085,0,0,var1
12715990,1.731771307,0.004774844,0,0,var1
12077280,1.777843975,0.004786971,0,0,var1
7240604,1.832805411,0.004810274,0,0,var1
17064316,1.876289126,0.00482074,0,0,var1
9270632,1.92801694,0.004842087,0,0,var1
13268766,1.974917962,0.004844116,0,0,var1
10985032,2.023643601,0.004856408,0,0,var1
15229002,2.071509987,0.004858674,0,0,var1
13660728,2.127574585,0.004868671,0,0,var1
11943984,2.182095008,0.004871454,0,0,var1
16891440,2.221297136,0.004874058,0,0,var1
9654012,2.26883725,0.004881285,0,0,var1
20233204,2.325078295,0.004881679,0,0,var1
13139522,2.375172227,0.004891493,0,0,var1
14149862,2.42254476,0.004884268,0,0,var1
17990844,2.474692101,0.004890945,0,0,var1
16248032,2.527630393,0.004880416,0,0,var1
15769384,2.575728129,0.004891349,0,0,var1
13243960,2.627735126,0.004891219,0,0,var1
21720946,2.67303963,0.004883438,0,0,var1
14364568,2.721495698,0.004893339,0,0,var1
18144420,2.776625415,0.004883004,0,0,var1
16836074,2.818342774,0.004886856,0,0,var1
21760376,2.873604961,0.004884026,0,0,var1
16105386,2.927582453,0.004884414,0,0,var1
21281104,2.978891032,0.004881065,0,0,var1
14263156,3.017895129,0.004878951,0,0,var1
19797972,3.070951458,0.004877874,0,0,var1
24972100,3.126070188,0.00487405,0,0,var1
19502852,3.176191892,0.004876961,0,0,var1
15460544,3.2275581,0.004870132,0,0,var1
25275568,3.271265809,0.004871612,0,0,var1
21897990,3.328375327,0.004867975,0,0,var1
17978186,3.375272438,0.004867985,0,0,var1
24095628,3.428304524,0.004861501,0,0,var1
21074580,3.473954625,0.004864468,0,0,var1
20569496,3.526202654,0.004855944,0,0,var1
23476262,3.578283099,0.004860084,0,0,var1
24352352,3.62281964,0.004860581,0,0,var1
21810740,3.676449771,0.004850931,0,0,var1
25377974,3.727405365,0.004859015,0,0,var1
24430916,3.778512378,0.004854626,0,0,var1
21867370,3.827626391,0.004851573,0,0,var1
21795708,3.873683132,0.004854926,0,0,var1
27579720,3.922584976,0.004851673,0,0,var1
24130680,3.974936405,0.004849123,0,0,var1
25219976,4.030125103,0.004849987,0,0,var1
32047700,4.078710285,0.004855602,0,0,var1
18237422,4.127989382,0.004849655,0,0,var1
30648924,4.177758595,0.004850398,0,0,var1
22971578,4.225055984,0.00485262,0,0,var1
26258696,4.272210676,0.004849484,0,0,var1
28473548,4.324936605,0.004853314,0,0,var1
28899768,4.379181782,0.004850007,0,0,var1
27573808,4.425946144,0.004847701,0,0,var1
18515600,4.471144214,0.004844408,0,0,var1
38665534,4.522027004,0.004854166,0,0,var1
28420028,4.576115415,0.00484454,0,0,var1
26151932,4.629174737,0.004850669,0,0,var1
27488378,4.670231937,0.004850039,0,0,var1
32943764,4.72423275,0.004848025,0,0,var1
25690514,4.771657226,0.004848099,0,0,var1
38529792,4.830199372,0.004846967,0,0,var1
26162284,4.877991556,0.004846783,0,0,var1
27145796,4.926069951,0.004846145,0,0,var1
36363292,4.977871981,0.004848142,0,0,var1
27950300,5.02322424,0.004846338,0,0,var1
29195378,5.073060047,0.004846067,0,0,var1
34062072,5.121773097,0.004849999,0,0,var1
35664034,5.177229684,0.004847522,0,0,var1
28505220,5.225349552,0.004852667,0,0,var1
28027320,5.274319937,0.004848937,0,0,var1
40280160,5.319581023,0.00484957,0,0,var1
32076708,5.376684797,0.004850345,0,0,var1
36190220,5.42907905,0.004850053,0,0,var1
35483548,5.478082801,0.004854663,0,0,var1
26792252,5.523353287,0.004852154,0,0,var1
37493944,5.572748664,0.004853969,0,0,var1
37691308,5.627081317,0.004852428,0,0,var1
32840628,5.674531518,0.004856899,0,0,var1
29974870,5.724124087,0.004847957,0,0,var1
42976980,5.772949869,0.004859564,0,0,var1
32827072,5.823141629,0.004855817,0,0,var1
30945248,5.870791016,0.004854614,0,0,var1
44131968,5.920995449,0.004857257,0,0,var1
39773958,5.975174502,0.004857177,0,0,var1
36982580,6.032422372,0.004857986,0,0,var1
34036666,6.076559306,0.004855189,0,0,var1
41833556,6.125962766,0.004859657,0,0,var1
30637564,6.174827801,0.00485367,0,0,var1
44730464,6.22735317,0.004858566,0,0,var1
